Layer 1 - Generation Transfomers (Step-Up Transformers),,,,,,,,,,,,,
Transformer ID,From,To,Description,Hv Level (kv),LV Level (kv),,Coordinates,Notes,,,,,
EP59,R26,EP59,Pole Cluster 59,1.5,15,13.8/0.4,90,"(6,-16) → (7,-17)","(1,1)",Rural distribution,,,
EP60,R27,EP60,Pole Cluster 60,1.8,12,13.8/0.4,80,"(5,-17) → (6,-18)","(1,1)",Sparse load density,,,
EP61,MD26,EP61,Pole Cluster 61,1.2,30,13.8/0.4,220,"(13,8) → (13.5,8.5)","(0.5,0.5)",Urban area,,,
EP62,MD27,EP62,Pole Cluster 62,1,35,13.8/0.4,240,"(12,7) → (12.5,7.5)","(0.5,0.5)",High-density residential,,,
EP63,R28,EP63,Pole Cluster 63,1.3,15,13.8/0.4,120,"(7,-18) → (8,-19)","(1,1)",Rural community center,,,
EP64,R29,EP64,Pole Cluster 64,2,10,13.8/0.4,90,"(5,-19) → (6,-20)","(1,1)",Cooperative facilities,,,
EP65,MD28,EP65,Pole Cluster 65,1.4,20,13.8/0.4,130,"(14,9) → (14.5,9.5)","(0.5,0.5)",Mixed load,,,
EP66,MD29,EP66,Pole Cluster 66,1.6,22,13.8/0.4,140,"(15,10) → (15.5,10.5)","(0.5,0.5)",Urban feeder,,,
EP67,R30,EP67,Pole Cluster 67,1.8,18,13.8/0.4,100,"(8,-20) → (9,-21)","(1,1)",Rural distribution,,,
EP68,R31,EP68,Pole Cluster 68,2.1,14,13.8/0.4,90,"(7,-21) → (6,-22)","(-1,-1)",Sparse load density,,,
EP69,MD30,EP69,Pole Cluster 69,1.7,25,13.8/0.4,150,"(11,12) → (11.5,12.5)","(0.5,0.5)",Mixed load,,,
EP70,MD31,EP70,Pole Cluster 70,1.5,30,13.8/0.4,200,"(10,11) → (10.5,11.5)","(0.5,0.5)",Urban area,,,
EP71,R32,EP71,Pole Cluster 71,1.8,12,13.8/0.4,100,"(5,-22) → (6,-23)","(1,1)",Rural distribution,,,
EP72,R33,EP72,Pole Cluster 72,1.4,10,13.8/0.4,90,"(4,-23) → (5,-24)","(1,1)",Cooperative facilities,,,
EP73,MD32,EP73,Pole Cluster 73,1,28,13.8/0.4,180,"(12,10) → (12.5,10.5)","(0.5,0.5)",High-density residential,,,
EP74,MD33,EP74,Pole Cluster 74,1.2,20,13.8/0.4,130,"(11,9) → (11.5,9.5)","(0.5,0.5)",Mixed load,,,
EP75,R34,EP75,Pole Cluster 75,1.3,15,13.8/0.4,100,"(6,-24) → (7,-25)","(1,1)",Sparse load density,,,
EP76,R35,EP76,Pole Cluster 76,1.5,12,13.8/0.4,80,"(5,-25) → (4,-26)","(-1,-1)",Rural distribution,,,
EP77,MD34,EP77,Pole Cluster 77,1.1,30,13.8/0.4,200,"(13,9) → (13.5,9.5)","(0.5,0.5)",Urban area,,,
EP78,MD35,EP78,Pole Cluster 78,1.3,28,13.8/0.4,180,"(14,10) → (14.5,10.5)","(0.5,0.5)",High-density residential,,,
EP79,R36,EP79,Pole Cluster 79,1.4,22,13.8/0.4,120,"(7,-26) → (8,-27)","(1,1)",Rural community center,,,
EP80,R37,EP80,Pole Cluster 80,1.6,18,13.8/0.4,100,"(6,-27) → (7,-28)","(1,1)",Rural distribution,,,
EP81,MD36,EP81,Pole Cluster 81,1.2,30,13.8/0.4,200,"(10,12) → (10.5,12.5)","(0.5,0.5)",Urban area,,,
EP82,MD37,EP82,Pole Cluster 82,1.4,25,13.8/0.4,150,"(11,13) → (11.5,13.5)","(0.5,0.5)",Mixed load,,,
EP83,R38,EP83,Pole Cluster 83,1.5,20,13.8/0.4,130,"(8,-28) → (9,-29)","(1,1)",Rural distribution,,,
EP84,R39,EP84,Pole Cluster 84,1.7,15,13.8/0.4,120,"(7,-29) → (6,-30)","(-1,-1)",Cooperative facilities,,,
EP85,MD38,EP85,Pole Cluster 85,1.3,30,13.8/0.4,200,"(12,11) → (12.5,11.5)","(0.5,0.5)",Urban area,,,
EP86,MD39,EP86,Pole Cluster 86,1.5,28,13.8/0.4,180,"(11,10) → (11.5,10.5)","(0.5,0.5)",High-density residential,,,
EP87,R40,EP87,Pole Cluster 87,1.6,12,13.8/0.4,100,"(6,-30) → (7,-31)","(1,1)",Rural community center,,,
EP88,R41,EP88,Pole Cluster 88,1.8,10,13.8/0.4,90,"(5,-31) → (4,-32)","(-1,-1)",Sparse load density,,,
EP89,MD40,EP89,Pole Cluster 89,1.4,30,13.8/0.4,200,"(10,13) → (10.5,13.5)","(0.5,0.5)",Urban area,,,
EP90,MD41,EP90,Pole Cluster 90,1.6,28,13.8/0.4,180,"(11,12) → (11.5,12.5)","(0.5,0.5)",High-density residential,,,
EP91,R42,EP91,Pole Cluster 91,1.5,15,13.8/0.4,120,"(6,-32) → (7,-33)","(1,1)",Rural distribution,,,
EP92,R43,EP92,Pole Cluster 92,1.8,12,13.8/0.4,100,"(5,-33) → (4,-34)","(-1,-1)",Rural distribution,,,
EP93,MD42,EP93,Pole Cluster 93,1.3,30,13.8/0.4,200,"(12,12) → (12.5,12.5)","(0.5,0.5)",Urban area,,,
EP94,MD43,EP94,Pole Cluster 94,1.5,25,13.8/0.4,150,"(11,13) → (11.5,13.5)","(0.5,0.5)",Mixed load,,,
EP95,R44,EP95,Pole Cluster 95,1.6,18,13.8/0.4,100,"(7,-34) → (8,-35)","(1,1)",Rural community center,,,
EP96,R45,EP96,Pole Cluster 96,1.8,10,13.8/0.4,90,"(6,-35) → (5,-36)","(-1,-1)",Sparse load density,,,
EP97,MD44,EP97,Pole Cluster 97,1.4,30,13.8/0.4,200,"(10,14) → (10.5,14.5)","(0.5,0.5)",Urban area,,,
EP98,MD45,EP98,Pole Cluster 98,1.6,28,13.8/0.4,180,"(11,15) → (11.5,15.5)","(0.5,0.5)",High-density residential,,,
EP99,R46,EP99,Pole Cluster 99,1.5,15,13.8/0.4,120,"(6,-36) → (7,-37)","(1,1)",Rural distribution,,,
EP100,R47,EP100,Pole Cluster 100,1.8,12,13.8/0.4,100,"(5,-37) → (4,-38)","(-1,-1)",Cooperative facilities,,,
